top - 22:41:29 up  4:30,  1 user,  load average: 0.74, 0.76, 0.78
Tasks: 238 total,   3 running, 233 sleeping,   0 stopped,   2 zombie
%Cpu(s):  7.3 us,  3.2 sy,  0.0 ni, 89.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7893.1 total,   1954.5 free,   1915.2 used,   4023.3 buff/cache
MiB Swap:   8172.0 total,   8172.0 free,      0.0 used.   5793.4 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 2993 hbyc      20   0   17596   1988   1748 S   0.0   0.0   0:00.00 filearmor+
 2995 hbyc      20   0   12772   3032   2620 S   0.0   0.0   0:00.00 permissio+
 2996 hbyc      20   0  248900  28952  25796 S   0.0   0.4   0:00.15 dde-clipb+
 3016 root      20   0       0      0      0 S   0.0   0.0   0:00.00 audit_pru+
 3070 hbyc      20   0   51708  20516   6700 S   0.0   0.3   0:01.19 python3
 3077 hbyc      20   0   15756   4516   3188 S   0.0   0.1   0:00.03 bash
 3083 hbyc      20   0       0      0      0 Z   0.0   0.0   0:34.43 hp-upgrade
 3115 hbyc      20   0  656288  70544  43628 S   0.0   0.9   0:00.39 sogouImeS+
 3190 hbyc      20   0  257680  26588  22988 S   0.0   0.3   0:06.05 sogouImeS+
 3231 root      20   0    2036    488    420 S   0.0   0.0   0:00.00 bluetooth+
 3233 root      20   0   10912   4976   4508 S   0.0   0.1   0:00.00 bluetoothd
 3303 hbyc      20   0 2208596 126588 104148 S   0.0   1.6   0:05.46 dde-file-+
 3311 root      20   0  105688   7968   6776 S   0.0   0.1   0:00.02 sudo
 3352 root      20   0   15064   3596   3112 S   0.0   0.0   0:00.01 bash
 3467 root      20   0   82796  13904  13028 S   0.0   0.2   0:01.56 journalctl
 7419 root      20   0   35724   6860   5944 S   0.0   0.1   0:00.04 cupsd
15424 root      20   0       0      0      0 I   0.0   0.0   0:02.30 kworker/4+
15806 root      20   0       0      0      0 I   0.0   0.0   0:01.10 kworker/u+
17604 root      20   0       0      0      0 I   0.0   0.0   0:02.38 kworker/1+
20141 root      20   0       0      0      0 I   0.0   0.0   0:01.36 kworker/3+
21474 root      20   0       0      0      0 I   0.0   0.0   0:00.56 kworker/u+
23133 root      20   0       0      0      0 I   0.0   0.0   0:00.65 kworker/6+
23419 hbyc      20   0   12656    368    304 S   0.0   0.0   0:00.00 sleep
24447 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker/5+
24464 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/6+
24593 root      20   0       0      0      0 I   0.0   0.0   0:00.28 kworker/7+
24735 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/4+
24856 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3+
24903 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2+
25051 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/7+
25125 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1+
25228 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker/5+
25269 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker/0+
25374 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2+
25451 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/6+
25539 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1+
25545 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3+
25653 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0+
25671 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/5+
25677 root      20   0   12656    384    320 S   0.0   0.0   0:00.00 sleep

top - 22:41:34 up  4:30,  1 user,  load average: 0.68, 0.74, 0.77
Tasks: 238 total,   1 running, 235 sleeping,   0 stopped,   2 zombie
%Cpu(s):  5.1 us,  2.3 sy,  0.0 ni, 92.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7893.1 total,   1954.6 free,   1915.1 used,   4023.4 buff/cache
MiB Swap:   8172.0 total,   8172.0 free,      0.0 used.   5793.6 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 3530 hbyc      20   0 5226620 774440 127520 S  21.2   9.6  58:17.04 deepin-mo+
 2187 hbyc      20   0 2478788 149196 106668 S  20.0   1.8  53:55.11 kwin_x11
  742 root      20   0 2813760  93312  60396 S   8.3   1.2  22:37.01 Xorg
 2554 hbyc      20   0 1121276  24884  18804 S   1.2   0.3   3:38.06 pulseaudio
 3069 hbyc      20   0   64256  26036  11032 S   1.2   0.3   3:26.28 python3
18287 root      20   0       0      0      0 I   1.2   0.0   0:46.35 kworker/0+
  301 root      -2   0       0      0      0 S   1.0   0.0   2:24.38 gfx
  304 root      -2   0       0      0      0 S   0.8   0.0   2:54.33 sdma0
  305 root      -2   0       0      0      0 S   0.6   0.0   0:52.33 sdma1
  974 root      20   0 1082648 109168  56240 S   0.6   1.4   2:10.60 qaxsafed
 1447 root      20   0   17436   3516   2776 R   0.6   0.0   1:38.02 top
 2139 hbyc      20   0 2680644 112776  89960 S   0.6   1.4   0:51.98 dde-dock
